pair_id,baseline__detected_query_keypoints,baseline__detected_refer_keypoints,baseline__ratio_matches,baseline__inverse_consistency_matches,baseline__outlier_filter_matches,baseline__matches_after_consistency,baseline__geometry_inliers,baseline__geometry_inlier_rate,baseline__average_control_point_error,baseline__registration_success,baseline__failure_reason,baseline__query_grid_coverage,baseline__refer_grid_coverage,G0__detected_query_keypoints,G0__detected_refer_keypoints,G0__ratio_matches,G0__inverse_consistency_matches,G0__outlier_filter_matches,G0__matches_after_consistency,G0__geometry_inliers,G0__geometry_inlier_rate,G0__average_control_point_error,G0__registration_success,G0__failure_reason,G0__query_grid_coverage,G0__refer_grid_coverage
control_points_59_r_t,299,417,40,33,19,19,14,0.9342105263157895,5.448369064815757,True,,0.4375,0.5,328,483,40,35,24,24,24,0.9470588235294117,5.921250272716285,True,,0.5,0.5625
control_points_60_r_t,255,407,39,30,24,24,24,0.9703703703703703,7.1834839342719805,True,,0.375,0.375,284,467,27,25,20,20,19,0.9761904761904762,7.247540627233584,True,,0.3125,0.4375
control_points_61_r_t,305,417,40,29,20,20,20,0.9716312056737588,9.854088908450043,True,,0.4375,0.5625,338,483,39,30,19,19,19,0.9551282051282052,9.985579050757101,True,,0.5,0.5625
control_points_62_r_t,305,407,45,34,20,20,20,0.9689922480620154,10.82734924615608,True,,0.375,0.4375,319,467,51,43,29,29,29,0.9536423841059603,10.763852706775518,True,,0.5,0.6875
control_points_63_r_t,444,420,219,204,158,158,157,0.9375,3.341687584721816,True,,0.625,0.8125,499,472,241,226,208,208,207,0.9300411522633745,3.218858814228648,True,,0.875,0.9375
control_points_64_r_t,409,378,199,187,138,138,137,0.9392523364485982,3.9074527282066165,True,,1.0,1.0,476,417,219,203,180,180,177,0.9583333333333334,4.522167935625618,True,,0.9375,0.9375
control_points_65_r_t,299,416,78,70,56,56,56,0.9693877551020408,4.768884457332621,True,,0.4375,0.6875,328,464,80,73,53,53,52,0.9671361502347418,4.110056097846726,True,,0.5,0.8125
control_points_66_r_t,255,376,64,60,36,36,36,0.9710144927536232,5.107699808844687,True,,0.4375,0.6875,284,416,63,61,47,47,47,0.967741935483871,4.870791085229613,True,,0.5,0.6875
control_points_67_r_t,571,418,154,59,58,58,58,0.9502762430939227,5.830105175364487,True,,0.8125,0.75,691,474,172,142,132,132,132,0.9665071770334929,5.621362836874623,True,,0.9375,0.8125
control_points_68_r_t,534,379,86,31,28,28,28,0.9734513274336283,6.183172039159117,True,,0.5,0.5,649,411,98,37,35,35,27,0.9831932773109243,6.19873247768896,True,,0.5,0.625
control_points_69_r_t,305,416,59,49,41,41,41,0.9407894736842105,7.613163849430674,True,,0.5625,0.625,338,464,64,54,42,42,42,0.9623655913978495,7.49996338881088,True,,0.625,0.75
control_points_70_r_t,305,376,68,62,46,46,45,0.9078014184397163,7.269724161728703,True,,0.5,0.625,319,416,77,63,47,47,47,0.9664429530201343,6.87700208196899,True,,0.5,0.6875
