pair_id,vessel_only__detected_query_keypoints,vessel_only__detected_refer_keypoints,vessel_only__ratio_matches,vessel_only__inverse_consistency_matches,vessel_only__outlier_filter_matches,vessel_only__matches_after_consistency,vessel_only__geometry_inliers,vessel_only__geometry_inlier_rate,vessel_only__average_control_point_error,vessel_only__registration_success,vessel_only__failure_reason,vessel_only__query_grid_coverage,vessel_only__refer_grid_coverage,three_stage__detected_query_keypoints,three_stage__detected_refer_keypoints,three_stage__ratio_matches,three_stage__inverse_consistency_matches,three_stage__outlier_filter_matches,three_stage__matches_after_consistency,three_stage__geometry_inliers,three_stage__geometry_inlier_rate,three_stage__average_control_point_error,three_stage__registration_success,three_stage__failure_reason,three_stage__query_grid_coverage,three_stage__refer_grid_coverage,G0__detected_query_keypoints,G0__detected_refer_keypoints,G0__ratio_matches,G0__inverse_consistency_matches,G0__outlier_filter_matches,G0__matches_after_consistency,G0__geometry_inliers,G0__geometry_inlier_rate,G0__average_control_point_error,G0__registration_success,G0__failure_reason,G0__query_grid_coverage,G0__refer_grid_coverage
control_points_50_r_t,277,384,104,100,63,63,63,0.9656862745098039,3.551320564218511,True,,0.375,0.5625,259,370,100,91,68,68,68,0.9735449735449735,3.4504898550248266,True,,0.4375,0.625,312,448,123,110,87,87,87,0.9766355140186916,3.9781745807913858,True,,0.5,0.6875
control_points_51_r_t,462,363,150,78,77,77,77,0.8802083333333334,3.774910476446978,True,,0.75,0.625,468,359,150,67,56,56,56,0.9415204678362573,4.000963801548871,True,,0.6875,0.5,575,431,168,82,63,63,63,0.9484536082474226,4.424426086388636,True,,0.4375,0.4375
control_points_52_r_t,506,377,183,86,67,67,67,0.9259259259259259,4.622944641210913,True,,0.875,0.6875,484,373,161,72,69,69,69,0.9693877551020408,5.140390828313204,True,,0.875,0.875,609,445,175,77,64,64,64,0.9547511312217195,5.32757792413365,True,,0.8125,0.75
control_points_53_r_t,269,371,87,79,58,58,58,0.9290322580645162,9.747705788668952,True,,0.75,0.8125,284,363,78,64,41,41,41,0.8553459119496856,9.11868713669085,True,,0.625,0.8125,324,424,95,81,54,54,54,0.936046511627907,9.832535064649035,True,,0.4375,0.6875
control_points_54_r_t,271,384,77,64,33,33,33,0.95625,10.781558946704058,True,,0.5625,0.75,283,370,59,51,35,35,35,0.9202898550724637,10.988990439095621,True,,0.5625,0.6875,313,448,80,68,42,42,42,0.9470588235294117,10.428128987502543,True,,0.625,0.75
control_points_55_r_t,402,401,192,180,163,163,163,0.9306930693069307,3.3522662417582763,True,,0.875,0.875,387,391,185,176,150,150,149,0.9323671497584541,3.731221069692498,True,,0.875,0.9375,471,473,196,185,166,166,165,0.9627906976744186,3.6513433956860766,True,,0.9375,0.9375
control_points_56_r_t,372,412,221,211,161,161,158,0.9256198347107438,3.0254519637827113,True,,0.8125,0.8125,378,381,219,206,188,188,188,0.8951965065502183,3.2959466176057775,True,,1.0,1.0,415,463,238,233,207,207,207,0.914179104477612,2.6038654890394977,True,,1.0,1.0
control_points_57_r_t,404,401,171,161,143,143,143,0.9536082474226805,3.714972530817938,True,,0.8125,0.9375,398,391,172,163,143,143,141,0.9453551912568307,3.4826477763427537,True,,0.875,0.875,483,473,205,187,160,160,160,0.9488372093023256,3.5181516306086107,True,,0.875,0.9375
control_points_58_r_t,397,412,164,150,111,111,110,0.946236559139785,4.834371760776603,True,,0.875,0.9375,396,381,160,145,115,115,115,0.8852459016393442,5.518896634668681,True,,0.75,0.875,461,463,173,157,139,139,139,0.9128205128205128,5.049445250571821,True,,0.8125,0.875
control_points_59_r_t,291,397,45,40,25,25,24,0.96,6.258168000774666,True,,0.5625,0.625,294,388,44,34,25,25,25,0.9797297297297297,5.853496525419627,True,,0.5,0.5625,329,469,51,36,20,20,18,0.9617834394904459,5.649021869336116,True,,0.5,0.5625
