method,pair_id,transform,transform_type,detected_original,detected_transformed,spatial_positive_pairs,detector_repeatability_original,detector_repeatability_symmetric,positive_descriptor_distance,nearest_spatial_negative_distance,descriptor_margin,ratio_matches,ratio_pass_rate,bidirectional_matches,bidirectional_pass_rate,ransac_inliers,ransac_inlier_rate,inlier_grid_cells,inlier_grid_coverage,inlier_hull_fraction,outer_border_original,outer_border_repeated,outer_border_repeatability
G7,01_r_t,low_frequency_shading,low_frequency_shading,497,486,449,0.903420523138833,0.91353001017294,0.10507457568942837,1.1657534862945234,1.060678910605095,474,0.9537223340040242,472,0.9957805907172996,437,0.9258474576271186,49,0.765625,0.5897919494259523,0,0,0.0
G7,10_r_t,identity,identity,351,351,351,1.0,1.0,0.0,1.170561588727511,1.170561588727511,351,1.0,351,1.0,351,1.0,39,0.609375,0.4106563643118427,0,0,0.0
G7,10_r_t,gamma_075,gamma,351,353,325,0.9259259259259259,0.9232954545454546,0.09405401080846787,1.17388895878425,1.0798349479757823,340,0.9686609686609686,338,0.9941176470588236,311,0.9201183431952663,38,0.59375,0.4078287090620713,0,0,0.0
G7,10_r_t,gamma_135,gamma,351,336,287,0.8176638176638177,0.8355167394468704,0.11257327428470505,1.1773443708021052,1.0647710965174002,328,0.9344729344729344,325,0.9908536585365854,267,0.8215384615384616,37,0.578125,0.39287305848479653,0,0,0.0
G7,10_r_t,darker_contrast,brightness_contrast,351,345,293,0.8347578347578347,0.8419540229885057,0.10796723078694767,1.1745088279450713,1.0665415971581236,329,0.9373219373219374,327,0.993920972644377,278,0.8501529051987767,35,0.546875,0.37764558238311613,0,0,0.0
G7,10_r_t,gaussian_blur_12,gaussian_blur,351,350,323,0.9202279202279202,0.9215406562054208,0.06069366163905745,1.1738680088114075,1.11317434717235,340,0.9686609686609686,339,0.9970588235294118,313,0.9233038348082596,39,0.609375,0.40998991733824874,0,0,0.0
G7,10_r_t,local_contrast_clahe,clahe,351,377,278,0.792022792022792,0.7637362637362637,0.21793604451868173,1.1752493525151726,0.9573133079964908,335,0.9544159544159544,333,0.9940298507462687,254,0.7627627627627628,37,0.578125,0.3993869357638889,0,0,0.0
G7,10_r_t,low_frequency_shading,low_frequency_shading,351,352,328,0.9344729344729344,0.9331436699857752,0.07585069333293998,1.1737859781558921,1.0979352848229522,345,0.9829059829059829,342,0.991304347826087,321,0.9385964912280702,39,0.609375,0.4100251932584591,0,0,0.0
G7,20_r_t,identity,identity,663,663,663,1.0,1.0,0.0,0.9950097799301147,0.9950097799301147,661,0.9969834087481146,661,1.0,661,1.0,61,0.953125,0.8182030594466327,14,14,1.0
G7,20_r_t,gamma_075,gamma,663,666,603,0.9095022624434389,0.90744920993228,0.12966494744714616,0.994353832988992,0.8646888855418459,620,0.9351432880844646,620,1.0,586,0.9451612903225807,61,0.953125,0.8135845950755977,14,11,0.7857142857142857
