dataset,image,perturbation_type,perturbation,mask_iou,skeleton_f1,junction_repeatability,valid_fraction
FIMD,08_r.jpg,photometric,brightness_plus30,0.9837326445868234,0.9976981006324814,0.9432811754936942,1.0
FIMD,08_r.jpg,photometric,contrast_070,0.8763960006275763,0.9629880256417185,0.7918743538620587,1.0
FIMD,08_r.jpg,photometric,contrast_130,0.9693011471602505,0.9935730802067073,0.9125517469779765,1.0
FIMD,08_r.jpg,photometric,gaussian_blur,0.5223917110375593,0.7057366449462474,0.6254792437863564,1.0
FIMD,08_r.jpg,affine,rotate_minus10_translate,0.8180416452513578,0.9328649622394131,0.7494101830167403,0.9226226806640625
FIMD,08_r.jpg,affine,rotate_plus10_translate,0.833759237516403,0.9421132779657244,0.7631502718592882,0.9226226806640625
FIMD,08_r.jpg,affine,scale_095,0.8389525595610197,0.9433788715736077,0.7594332538852071,1.0
FIMD,08_r.jpg,affine,scale_105,0.8425494679199481,0.9618159292820075,0.7682028252528775,0.908447265625
FIMD,12_t.jpg,photometric,brightness_minus30,0.9873177982355198,0.9986005449289798,0.9514065081905356,1.0
FIMD,12_t.jpg,photometric,brightness_plus30,0.986623196049288,0.9976041747645217,0.956088108003359,1.0
FIMD,12_t.jpg,photometric,contrast_070,0.8751536477790364,0.9596902962278685,0.7849988297763411,1.0
FIMD,12_t.jpg,photometric,contrast_130,0.9461445148886498,0.9888741068196196,0.8721248150099079,1.0
FIMD,12_t.jpg,photometric,gaussian_blur,0.6374765500986098,0.7802079513401026,0.6418372939063921,1.0
FIMD,12_t.jpg,affine,rotate_minus10_translate,0.8478678088283481,0.9446309717617495,0.758108209797577,0.9226226806640625
FIMD,12_t.jpg,affine,rotate_plus10_translate,0.8524574845823211,0.94323118701653,0.7744169563711467,0.9226226806640625
FIMD,12_t.jpg,affine,scale_095,0.8686696680585038,0.9584913548701494,0.7280024234157101,1.0
FIMD,12_t.jpg,affine,scale_105,0.8490403895731882,0.96487869931849,0.7542786302532072,0.908447265625
FIMD,18_t.jpg,photometric,brightness_minus30,0.986445495040035,0.9989324262954007,0.9582154088050314,1.0
FIMD,18_t.jpg,photometric,brightness_plus30,0.9847656356266492,0.9977307596182353,0.9432718579234973,1.0
FIMD,18_t.jpg,photometric,contrast_070,0.9088089159735375,0.9737977504570693,0.7585755267118134,1.0
FIMD,18_t.jpg,photometric,contrast_130,0.9364027738392926,0.9865824455061559,0.8527842317224288,1.0
FIMD,18_t.jpg,photometric,gaussian_blur,0.6606401573082805,0.7877802658313884,0.6050595238095238,1.0
FIMD,18_t.jpg,affine,rotate_minus10_translate,0.873282967032967,0.949488440702167,0.7287415377176016,0.9226226806640625
