dataset,image,variant,mask_iou_to_baseline,skeleton_f1_to_baseline,junction_repeatability_to_baseline,baseline_area_fraction,variant_area_fraction,baseline_junction_count,variant_junction_count
FIRE,P46_1.jpg,threshold_035,0.6124184859654097,0.825356922958832,0.6405171841825903,0.10165574815538195,0.062255859375,768,471
FIRE,P46_1.jpg,kernel_09,0.6714405793353162,0.9136608880324213,0.7100831795007032,0.10165574815538195,0.0736541748046875,768,711
FIRE,P46_1.jpg,kernel_21,0.8863534273650167,0.949757001580236,0.7774296571798189,0.10165574815538195,0.11193678114149305,768,773
FIRE,S04_1.jpg,threshold_015,0.43801813392889655,0.6079007421193023,0.5365637237567613,0.12236531575520833,0.2793613009982639,992,2463
FIRE,S04_1.jpg,threshold_035,0.6184221464793416,0.8379138900675208,0.6608727857178803,0.12236531575520833,0.07567342122395833,992,641
FIRE,S04_1.jpg,kernel_09,0.7463821470166937,0.9356372540560077,0.7390403581855729,0.12236531575520833,0.09880744086371528,992,906
FIRE,S04_1.jpg,kernel_21,0.8753685698272291,0.9605524112871991,0.8239791107154713,0.12236531575520833,0.1385921902126736,992,1069
FIRE,S11_1.jpg,threshold_015,0.4141357392815483,0.6111200924125031,0.5343400647708423,0.1474728054470486,0.3560977511935764,1233,2908
FIRE,S11_1.jpg,threshold_035,0.5811480404216915,0.7987743269812068,0.6214640854755105,0.1474728054470486,0.08570353190104167,1233,690
FIRE,S11_1.jpg,kernel_09,0.6835831759969063,0.9170537551901353,0.7157399456132818,0.1474728054470486,0.10349019368489583,1233,1020
FIRE,S11_1.jpg,kernel_21,0.8745318733208499,0.9649623334865562,0.806438617834123,0.1474728054470486,0.1648220486111111,1233,1368
FIRE,S11_2.jpg,threshold_015,0.3573974991162426,0.5342600376746751,0.5059023617329885,0.1011318630642361,0.2829674614800347,808,2512
FIRE,S11_2.jpg,threshold_035,0.5955574182732607,0.8202635476844742,0.6334261551155116,0.1011318630642361,0.06022983127170139,808,480
FIRE,S11_2.jpg,kernel_09,0.6333653432232855,0.9042534323566092,0.7331639280949371,0.1011318630642361,0.06612481011284722,808,705
FIRE,S11_2.jpg,kernel_21,0.8561697102367648,0.9606301389579517,0.7818182898866194,0.1011318630642361,0.1173824734157986,808,937
FIRE,S17_1.jpg,threshold_015,0.40858559768571134,0.607741985269763,0.5309337266107476,0.1340976291232639,0.3281995985243056,1142,2660
FIRE,S17_1.jpg,threshold_035,0.5522037069815663,0.7744192503029506,0.5944575189633984,0.1340976291232639,0.07404920789930555,1142,637
FIRE,S17_1.jpg,kernel_09,0.6635827799746326,0.8983179817486452,0.702991492053278,0.1340976291232639,0.09271918402777778,1142,958
FIRE,S17_1.jpg,kernel_21,0.8431288599655345,0.9511776304428746,0.788624178862116,0.1340976291232639,0.15785047743055555,1142,1305
FIRE,S18_1.jpg,threshold_015,0.40858559768571134,0.607741985269763,0.5309337266107476,0.1340976291232639,0.3281995985243056,1142,2660
FIRE,S18_1.jpg,threshold_035,0.5522037069815663,0.7744192503029506,0.5944575189633984,0.1340976291232639,0.07404920789930555,1142,637
FIRE,S18_1.jpg,kernel_09,0.6635827799746326,0.8983179817486452,0.702991492053278,0.1340976291232639,0.09271918402777778,1142,958
FIRE,S18_1.jpg,kernel_21,0.8431288599655345,0.9511776304428746,0.788624178862116,0.1340976291232639,0.15785047743055555,1142,1305
FIRE,S21_1.jpg,threshold_015,0.40858559768571134,0.607741985269763,0.5309337266107476,0.1340976291232639,0.3281995985243056,1142,2660
FIRE,S21_1.jpg,threshold_035,0.5522037069815663,0.7744192503029506,0.5944575189633984,0.1340976291232639,0.07404920789930555,1142,637
FIRE,S21_1.jpg,kernel_09,0.6635827799746326,0.8983179817486452,0.702991492053278,0.1340976291232639,0.09271918402777778,1142,958
FIRE,S21_1.jpg,kernel_21,0.8431288599655345,0.9511776304428746,0.788624178862116,0.1340976291232639,0.15785047743055555,1142,1305
FIRE,S25_2.jpg,threshold_015,0.40785147099586394,0.6002570895673944,0.5326853266042455,0.12722608778211805,0.3119422064887153,1056,2738
FIRE,S25_2.jpg,threshold_035,0.586466065217681,0.8060014648027964,0.6209699453551912,0.12722608778211805,0.07461378309461805,1056,610
FIRE,S25_2.jpg,kernel_09,0.7105758568223431,0.9290159827558283,0.7207720588235293,0.12722608778211805,0.09769185384114583,1056,935
FIRE,S25_2.jpg,kernel_21,0.8679308823187867,0.9654820962507755,0.7992524186455585,0.12722608778211805,0.14549085828993055,1056,1137
FIRE,S27_2.jpg,threshold_015,0.3767574091123995,0.5679075983935907,0.5306021758906856,0.1026797824435764,0.2725355360243056,883,2440
FIRE,S27_2.jpg,threshold_035,0.5792975909383618,0.7982833668017588,0.6486919020327854,0.1026797824435764,0.05948215060763889,883,495
FIRE,S27_2.jpg,kernel_09,0.6285718937753391,0.8909241674901894,0.7127609564306929,0.1026797824435764,0.06689961751302083,883,689
FIRE,S27_2.jpg,kernel_21,0.850580870742161,0.9552679526316689,0.7792584548196484,0.1026797824435764,0.1198577880859375,883,974
FIRE,S34_2.jpg,threshold_015,0.40785147099586394,0.6002570895673944,0.5326853266042455,0.12722608778211805,0.3119422064887153,1056,2738
FIRE,S34_2.jpg,threshold_035,0.586466065217681,0.8060014648027964,0.6209699453551912,0.12722608778211805,0.07461378309461805,1056,610
FIRE,S34_2.jpg,kernel_09,0.7105758568223431,0.9290159827558283,0.7207720588235293,0.12722608778211805,0.09769185384114583,1056,935
FIRE,S34_2.jpg,kernel_21,0.8679308823187867,0.9654820962507755,0.7992524186455585,0.12722608778211805,0.14549085828993055,1056,1137
FIRE,S35_1.jpg,threshold_015,0.3574064281097597,0.5413377898525258,0.516162340538118,0.10312737358940972,0.288543701171875,873,2602
FIRE,S35_1.jpg,threshold_035,0.5748927285580416,0.8063833250547281,0.6200894120047674,0.10312737358940972,0.059287177191840276,873,494
FIRE,S35_1.jpg,kernel_09,0.6262166788945952,0.9005309343282272,0.7066498125356384,0.10312737358940972,0.06598069932725695,873,681
FIRE,S35_1.jpg,kernel_21,0.8471027566819116,0.95613012883902,0.7816893158388003,0.10312737358940972,0.12078009711371528,873,968
FIRE,S41_1.jpg,threshold_015,0.40785147099586394,0.6002570895673944,0.5326853266042455,0.12722608778211805,0.3119422064887153,1056,2738
FIRE,S41_1.jpg,threshold_035,0.586466065217681,0.8060014648027964,0.6209699453551912,0.12722608778211805,0.07461378309461805,1056,610
FIRE,S41_1.jpg,kernel_09,0.7105758568223431,0.9290159827558283,0.7207720588235293,0.12722608778211805,0.09769185384114583,1056,935
FIRE,S41_1.jpg,kernel_21,0.8679308823187867,0.9654820962507755,0.7992524186455585,0.12722608778211805,0.14549085828993055,1056,1137
FIRE,S47_1.jpg,threshold_015,0.33975786002547587,0.5283028502544967,0.5271607165991153,0.0967746310763889,0.2848341200086806,840,2573
FIRE,S47_1.jpg,threshold_035,0.5815346881569726,0.8226910752477489,0.6347206781545303,0.0967746310763889,0.05627780490451389,840,514
FIRE,S47_1.jpg,kernel_09,0.7625040667111864,0.9446989057672873,0.7519315829098439,0.0967746310763889,0.07773844401041667,840,759
FIRE,S47_1.jpg,kernel_21,0.8079263977353149,0.9223689426921051,0.7604761904761905,0.0967746310763889,0.119781494140625,840,1050
FIRE,S54_1.jpg,threshold_015,0.4033166752247398,0.5800977968157481,0.5446334158913859,0.09454854329427083,0.2344275580512153,749,2077
FIRE,S54_1.jpg,threshold_035,0.6360033711693295,0.8197403353748823,0.6542645095421347,0.09454854329427083,0.06013319227430555,749,476
FIRE,S54_1.jpg,kernel_09,0.6690383824659886,0.9046223557992873,0.7027065169666938,0.09454854329427083,0.06373765733506945,749,596
FIRE,S54_1.jpg,kernel_21,0.8710549190043461,0.9557142561929076,0.8041091826138556,0.09454854329427083,0.1061740451388889,749,801
FIRE,S56_2.jpg,threshold_015,0.3785466909813278,0.5718030075553459,0.522015219632957,0.12212287055121528,0.3226097954644097,1003,2861
FIRE,S56_2.jpg,threshold_035,0.6171648318085269,0.8168558197100221,0.6269582556677793,0.12212287055121528,0.07536994086371528,1003,575
FIRE,S56_2.jpg,kernel_09,0.7492822055001429,0.9420438974381204,0.7215920887223912,0.12212287055121528,0.0958285861545139,1003,874
FIRE,S56_2.jpg,kernel_21,0.8832089223448849,0.966043669584621,0.7885829567864001,0.12212287055121528,0.1315188937717014,1003,1043
FIRE,S61_1.jpg,threshold_015,0.3934056521432715,0.5927259525192443,0.5217805818436734,0.12303331163194445,0.3127390543619792,1000,2853
FIRE,S61_1.jpg,threshold_035,0.6074027119391467,0.8105805565359326,0.6203784893267652,0.12303331163194445,0.07473076714409722,1000,609
FIRE,S61_1.jpg,kernel_09,0.7541530890470174,0.9430409003228392,0.697817747077577,0.12303331163194445,0.10056898328993055,1000,941
FIRE,S61_1.jpg,kernel_21,0.8647902270781327,0.9555825201022412,0.7784214162348877,0.12303331163194445,0.1391364203559028,1000,1158
FIRE,S67_2.jpg,threshold_015,0.44665620189427546,0.6548879328609314,0.5660099585618459,0.09986199273003472,0.22357686360677084,737,1741
FIRE,S67_2.jpg,threshold_035,0.6083767677968116,0.8241446258487646,0.623225448787256,0.09986199273003472,0.060753716362847224,737,443
FIRE,S67_2.jpg,kernel_09,0.7076435422414926,0.9295707916516694,0.7028675345412609,0.09986199273003472,0.0764194064670139,737,673
FIRE,S67_2.jpg,kernel_21,0.8705690013445789,0.9615495148670562,0.7609833607084197,0.09986199273003472,0.1076999240451389,737,760
FIRE,S70_1.jpg,threshold_015,0.39920728511530396,0.5908378503325715,0.5374737203848953,0.061986287434895836,0.1552734375,447,1328
FIRE,S70_1.jpg,threshold_035,0.5563852192226689,0.7701846308629077,0.5931964732201606,0.061986287434895836,0.03448825412326389,447,255
FIRE,S70_1.jpg,kernel_09,0.7032605599150545,0.9235003873304737,0.6581385393893993,0.061986287434895836,0.04951816134982639,447,439
FIRE,S70_1.jpg,kernel_21,0.8233131048796445,0.9397670469165093,0.7480654270730187,0.061986287434895836,0.07504102918836805,447,549
FIMD,02_t.jpg,threshold_015,0.4530430624961441,0.6558684969593264,0.5451239123176407,0.09960089789496528,0.2198486328125,795,1846
FIMD,02_t.jpg,threshold_035,0.5770166987250412,0.7820312225370438,0.5928721174004192,0.09960089789496528,0.057471381293402776,795,477
FIMD,02_t.jpg,kernel_09,0.7263995480013183,0.9130031398098353,0.705517936580983,0.09960089789496528,0.08689710828993055,795,861
FIMD,02_t.jpg,kernel_21,0.8418390468533002,0.9517926490435382,0.7748210800260247,0.09960089789496528,0.11400689019097222,795,870
FIMD,07_r.jpg,threshold_015,0.4909642764432197,0.6826054050143262,0.5621096511267047,0.12505594889322916,0.2547149658203125,992,1871
FIMD,07_r.jpg,threshold_035,0.572836593863966,0.7549917913512485,0.6234513791491351,0.12505594889322916,0.0716366238064236,992,552
FIMD,07_r.jpg,kernel_09,0.6625095377167364,0.8839239961903417,0.7135161993879058,0.12505594889322916,0.08920118543836805,992,917
FIMD,07_r.jpg,kernel_21,0.7867655754448207,0.9102994820575236,0.7416732383049637,0.12505594889322916,0.1567162407769097,992,1084
FIMD,08_r.jpg,threshold_015,0.48369512178119817,0.7020227611544158,0.5672135671117866,0.1176418728298611,0.24321492513020834,976,1812
FIMD,08_r.jpg,threshold_035,0.5430622009569378,0.7694440483233834,0.6481765111824686,0.1176418728298611,0.06388685438368055,976,582
FIMD,08_r.jpg,kernel_09,0.6875042690673625,0.9003517852398708,0.7346457845433255,0.1176418728298611,0.09178839789496528,976,980
FIMD,08_r.jpg,kernel_21,0.7922445615166828,0.9221717327819917,0.7450474800295146,0.1176418728298611,0.13671705457899305,976,1022
FIMD,12_t.jpg,threshold_015,0.4315528054010623,0.6161766230727109,0.5339975011507858,0.0701175265842014,0.16247728135850695,548,1332
FIMD,12_t.jpg,threshold_035,0.5718741688226903,0.7837913497000522,0.6320105331239028,0.0701175265842014,0.04009840223524305,548,316
FIMD,12_t.jpg,kernel_09,0.6656408314000284,0.9047609542895676,0.7246553122465531,0.0701175265842014,0.049172295464409724,548,495
FIMD,12_t.jpg,kernel_21,0.8361368323157171,0.9432066944835488,0.778167121938113,0.0701175265842014,0.0838589138454861,548,652
FIMD,18_t.jpg,threshold_015,0.4934124741931979,0.6978908503946626,0.5870229750778817,0.061589558919270836,0.12482367621527778,480,1070
FIMD,18_t.jpg,threshold_035,0.6158779970820601,0.8097744596825373,0.5788898601398602,0.061589558919270836,0.03793165418836805,480,286
